games,balance
1000,34.59999999999965
2000,82.10000000000018
3000,136.80000000000396
4000,97.50000000000534
5000,151.90000000000836
6000,213.10000000000954
7000,272.40000000000276
8000,-699.7000000000002
9000,-764.8000000000021
10000,-682.5000000000055
11000,-362.8000000000154
12000,-336.1000000000312
13000,-305.70000000004694
14000,-175.00000000005963
15000,-194.40000000005867
16000,-247.20000000006047
17000,-259.8000000000643
18000,-188.50000000006327
19000,-109.90000000006083
20000,-48.30000000005724
21000,51.39999999994236
22000,169.59999999994307
23000,235.399999999944
24000,274.59999999993755
25000,319.89999999992244
26000,510.4999999999079
27000,553.5999999999015
28000,556.599999999898
29000,518.2999999998929
30000,572.0999999998895
31000,592.1999999998839
32000,691.3999999998812
33000,726.8999999998761
34000,790.9999999998702
35000,897.199999999865
36000,932.9999999998619
37000,945.2999999998574
38000,927.2999999998531
39000,963.5999999998483
40000,1020.9999999998464
41000,1173.5999999999035
42000,1218.699999999962
43000,1238.5000000000227
44000,1279.0000000000916
45000,1326.0000000001598
46000,1330.5000000002208
47000,1339.9000000002782
48000,1376.2000000003386
49000,1414.2000000004064
50000,1494.4000000004678
51000,1496.50000000053
52000,1502.100000000591
53000,1505.6000000006522
54000,1546.2000000007183
55000,1594.0000000007856
56000,1624.1000000008464
57000,1713.2000000009102
58000,1819.800000000974
59000,1930.0000000010336
60000,2025.6000000010945
61000,2100.000000001128
62000,2157.60000000114
63000,2342.000000001149
64000,2388.4000000011597
65000,2429.6000000011772
66000,5421.900000001173
67000,5505.7000000009275
68000,5602.900000000691
69000,5652.500000000415
70000,5688.900000000152
71000,5744.49999999992
72000,5779.299999999668
73000,5606.599999999443
74000,5621.399999999193
75000,5655.299999998941
76000,5721.899999998676
77000,5791.899999998433
78000,5785.299999998209
79000,5843.999999997961
80000,5893.999999997719
81000,5847.499999997484
82000,5912.999999997223
83000,6068.499999996983
84000,6094.199999996743
85000,6142.799999996517
86000,6230.499999996247
87000,6215.1999999960135
88000,6383.699999995775
89000,6413.299999995549
90000,6492.899999995299
91000,6447.399999995069
92000,6565.899999994805
93000,6589.19999999457
94000,6640.499999994311
95000,6656.799999994067
96000,6612.299999993806
97000,6645.499999993536
98000,6622.099999993306
99000,6673.999999993036
100000,6723.099999992787
101000,6897.29999999252
102000,6628.399999992288
103000,6692.399999992046
104000,6706.899999991795
105000,6766.999999991521
106000,6685.099999991272
107000,6676.299999991018
108000,6781.399999990796
109000,6847.799999990528
110000,6881.899999990281
111000,6412.099999990054
112000,6456.799999989817
113000,6621.399999989566
114000,6682.89999998932
115000,6724.099999989066
116000,6837.999999988827
117000,6923.299999988588
118000,7001.099999988342
119000,6999.199999988124
120000,7026.399999987913
121000,7006.399999987658
122000,7028.099999987417
123000,7022.29999998718
124000,7078.699999986918
125000,7099.899999986673
126000,7211.699999986453
127000,7269.999999986193
128000,7445.899999985944
129000,7591.099999985689
130000,7540.299999985452
131000,7655.799999985214
132000,7693.39999998495
133000,7728.8999999846965
134000,7839.499999984437
135000,7877.199999984187
136000,7943.699999983959
137000,8016.599999983714
138000,8057.999999983473
139000,8123.599999983232
140000,8195.499999983023
141000,8307.499999982952
142000,8135.999999982748
143000,8168.499999982504
144000,8204.299999982339
145000,7938.299999982281
146000,7917.699999982059
147000,7989.299999981822
148000,8363.699999981663
149000,8423.599999981581
150000,8469.699999981518
151000,8525.799999981467
152000,8548.999999981399
153000,8439.999999981317
154000,8447.19999998126
155000,8523.299999981182
156000,8647.89999998112
157000,8754.699999981034
158000,8456.499999980962
159000,8499.999999980888
160000,8535.699999980845
161000,8573.499999980766
162000,8630.299999980705
163000,8722.399999980691
164000,8757.799999980605
165000,8816.19999998057
166000,8851.099999980523
167000,8846.499999980426
168000,7239.499999980233
169000,7295.199999979987
170000,7303.699999979723
171000,7371.699999979467
172000,7427.899999979239
173000,7496.099999978997
174000,7558.699999978758
175000,7644.999999978515
176000,7618.299999978282
177000,7693.399999978008
178000,7380.799999977783
179000,7400.599999977511
180000,7428.199999977251
181000,7511.999999976976
182000,7576.699999976727
183000,7597.4999999764605
184000,7623.6999999762065
185000,7672.099999975987
186000,7681.699999975731
187000,7636.799999975488
188000,7726.299999975233
189000,7804.399999974977
190000,8512.699999974844
191000,8388.39999997477
192000,8433.799999974714
193000,8477.29999997461
194000,8539.999999974532
195000,8400.299999974472
196000,8464.099999974398
197000,8520.799999974328
198000,8590.699999974271
199000,8637.599999974207
200000,8644.599999974156
201000,8716.49999997413
202000,8784.399999974037
203000,8917.199999973935
204000,8856.799999973868
205000,8892.599999973821
206000,8801.899999973793
207000,9119.699999973729
208000,9150.39999997363
209000,9200.99999997358
210000,9211.799999973522
211000,9383.899999973492
212000,9403.899999973439